BondID,ISIN,Issuer,Sector,CreditRating,Currency,FaceValue,CouponRate,CouponFrequency,BondType,IssueDate,MaturityDate,ValuationDate,YearsToMaturity,OriginalMaturityYears,YieldToMaturity,CleanPrice,AccruedInterest,DirtyPrice,MacaulayDuration,ModifiedDuration,Convexity,DV01_Per100Face,EffectiveDuration,EffectiveConvexity,SpreadOverBenchmark_bps,OAS_bps,ZSpread_bps,KeyRateBucket,Quantity,MarketValue_LocalCcy,MarketValue_INR,PortfolioWeight,IsCallable,CallDate,IsPutable,IsFloatingRate,BenchmarkIndex,PriceChange_Up50bps,PriceChange_Dn50bps,PriceChange_Up100bps,PriceChange_Dn100bps,PriceChange_Up200bps,PriceChange_Dn200bps,Recalc_CleanPrice,Recalc_MacaulayDuration,Recalc_ModifiedDuration,Recalc_Convexity,Recalc_DV01
ZTFI-0001,IN1043321819,Government of India,Government,SOV,INR,100,0.062,2,Fixed,2024-02-24,2027-02-23,2024-10-31,2.3135,3,0.0674,99.0052,0.0411,99.3134,1.9111,1.8488,4.4027,0.0183,1.8488,4.4027,0,0,8,2-3Y,100000,99005.2,99005.2,0.003088,False,,False,False,IN10YT,0.9207,-0.9098,1.8522,-1.8086,3.748,-3.5736,99.00520039031751,1.9110868658477316,1.8487828827007173,17.6107738076092,0.01830391197799734
ZTFI-0002,IN7940265423,Government of India,Government,SOV,INR,100,0.0773,2,Fixed,2022-11-08,2045-11-02,2024-10-31,21.0048,23,0.069,109.1347,1.6378,110.3014,11.1303,10.7591,170.9441,0.1174,10.7591,170.9441,0,0,-4,20Y+,20000,21826.94,21826.94,0.000681,False,,False,False,IN10YT,6.1042,-5.6378,12.6747,-10.8091,27.215,-19.7526,109.13465440475545,11.13031231624701,10.75912258699566,683.7763717699414,0.11741931252301699
ZTFI-0003,IN7816184959,Government of India,Government,SOV,INR,100,0.0555,2,Fixed,2024-02-08,2030-02-06,2024-10-31,5.2676,6,0.0674,95.019,1.367,96.2058,4.4165,4.2725,21.7752,0.0406,4.2725,21.7752,0,0,-2,5-7Y,20000,19003.8,19003.8,0.000593,False,,False,False,IN10YT,2.0557,-2.004,4.1631,-3.9562,8.5332,-7.7056,95.01903661666373,4.416548716925108,4.272563332615951,87.10092257381747,0.04059748517488498
ZTFI-0004,IN4752553419,Government of India,Government,SOV,INR,100,0.0681,2,Fixed,2013-10-08,2049-09-29,2024-10-31,24.9117,36,0.0667,101.6783,0.4596,103.2538,12.3379,11.9397,215.5283,0.1214,11.9397,215.5283,0,0,2,20Y+,50000,50839.15,50839.15,0.001586,False,,False,False,IN10YT,6.344,-5.7961,13.2358,-11.0444,28.6631,-19.8973,101.67834259598803,12.33786331421044,11.939675148023845,862.11321653075,0.12140063801855727
ZTFI-0005,IN5030564139,Government of India,Government,SOV,INR,100,0.075,2,Fixed,2021-04-03,2043-03-29,2024-10-31,18.4066,22,0.0702,104.8627,0.8603,105.3594,10.3448,9.994,142.4173,0.1048,9.994,142.4173,0,0,2,15-20Y,200000,209725.4,209725.4,0.006542,False,,False,False,IN10YT,5.4267,-5.0533,11.2267,-9.7333,23.9468,-17.9731,104.86272545285175,10.344758530860657,9.993970177625986,569.6690660698285,0.10479949509203819
ZTFI-0006,IN8849696532,Government of India,Government,SOV,INR,100,0.0645,2,Fixed,2019-10-21,2026-10-19,2024-10-31,1.9658,7,0.074,98.6743,1.0118,99.9515,1.4533,1.4014,2.6741,0.0138,1.4014,2.6741,0,0,8,1-2Y,10000,9867.43,9867.43,0.000308,False,,False,False,IN10YT,0.6947,-0.6881,1.396,-1.3696,2.8184,-2.7129,98.67429033821105,1.4532865372049246,1.4014334977868126,10.69630308130496,0.01382854558503106
ZTFI-0007,IN1669784801,Government of India,Government,SOV,INR,100,0.0694,2,Fixed,2013-06-15,2049-06-06,2024-10-31,24.5969,36,0.0731,95.8101,0.1935,96.5644,11.854,11.436,201.833,0.1096,11.436,201.833,0,0,9,20Y+,20000,19162.02,19162.02,0.000598,False,,False,False,IN10YT,5.7201,-5.2367,11.9237,-9.99,25.7812,-18.0462,95.81012997198758,11.853975362309587,11.435989930355106,807.3320064543367,0.10956836815856638
ZTFI-0008,IN4828148932,Government of India,Government,SOV,INR,100,0.0607,2,Fixed,2018-05-28,2030-05-25,2024-10-31,5.5633,12,0.0732,94.4229,1.3938,95.3318,4.7315,4.5644,25.0647,0.0431,4.5644,25.0647,0,0,10,5-7Y,100000,94422.9,94422.9,0.002945,False,,False,False,IN10YT,2.1845,-2.1253,4.4282,-4.1915,9.093,-8.1463,94.42291054642189,4.731535527693298,4.564475716470478,100.25878277597745,0.0430991082267607
ZTFI-0009,IN1543039117,Government of India,Government,SOV,INR,100,0.0733,2,Fixed,2013-03-28,2049-03-19,2024-10-31,24.3806,36,0.0663,108.3514,1.7351,108.654,12.0883,11.7004,206.5622,0.1268,11.7004,206.5622,0,0,8,20Y+,50000,54175.7,54175.7,0.00169,False,,False,False,IN10YT,6.6185,-6.059,13.7966,-11.5585,29.8314,-20.8788,108.35137458934763,12.088279189756728,11.70041057906086,826.2486589501837,0.1267755569500989
ZTFI-0010,IN8346578713,Government of India,Government,SOV,INR,100,0.0564,2,Fixed,2024-01-12,2047-01-06,2024-10-31,22.1821,23,0.0708,84.0622,0.3105,84.1623,12.0116,11.6009,197.3753,0.0975,11.6009,197.3753,0,0,-4,20Y+,100000,84062.2,84062.2,0.002622,False,,False,False,IN10YT,5.0834,-4.6686,10.5816,-8.9224,22.8223,-16.1856,84.06220744031518,12.011566404887041,11.600894731395634,789.5011206203956,0.09751968194038392
