Shift_bps,Analytical,Random_Forest,XGBoost,Neural_Network,Ensemble
-200,3825056.812170621,-6427278.614251487,-6295887.9700000025,-9495305.259435132,-7406157.281228874
-192,3628660.112248178,-6431307.523768991,-6307729.9700000025,-9588940.185555592,-7442659.226441529
-184,3435879.614612038,-6438563.568410493,-6310879.9700000025,-9680717.735140365,-7476720.4245169535
-176,3246715.3192621977,-6447792.980614509,-6318769.9700000025,-9770203.864920635,-7512255.605178382
-168,3061167.2261986593,-6458343.651743479,-6328949.9700000025,-9858683.91570815,-7548659.179150544
-160,2879235.335421423,-6473186.804180983,-6343949.9700000025,-9946187.761593759,-7587774.845258248
-152,2700919.6469304883,-6480563.311362002,-6347997.9700000025,-10031431.222615272,-7619997.501325759
-144,2526220.1607258543,-6490925.630033001,-6369043.9700000025,-10115198.649024393,-7658389.416352466
-136,2355136.8768075225,-6504084.660659976,-6379509.9700000025,-10196446.834092833,-7693347.154917604
-128,2187669.795175492,-6509770.972098984,-6385033.9700000025,-10275218.726739734,-7723341.222946241
-120,2023818.9158297628,-6527770.265379496,-6399885.9700000025,-10352236.749079607,-7759964.328153036
-112,1863584.2387703347,-6538029.329542477,-6413185.9700000025,-10428641.799604367,-7793285.699715615
-104,1706965.7639972083,-6552629.406080507,-6424507.9700000025,-10503690.721703261,-7826942.6992612565
-96,1553963.4915103836,-6564577.959162973,-6440261.9700000025,-10577191.40702955,-7860677.112064175
-88,1404577.4213098604,-6579352.394566987,-6464917.9700000025,-10648832.264822029,-7897700.876463006
-80,1258807.5533956385,-6605653.740538999,-6498469.9700000025,-10718112.897924311,-7940745.536154438
-72,1116653.887767718,-6620728.735886019,-6522625.9700000025,-10785413.858952966,-7976256.188279662
-64,978116.4244260992,-6656931.334393021,-6567635.9700000025,-10851352.917432472,-8025306.740608498
-56,843195.1633707815,-6683463.274809025,-6609963.9700000025,-10915434.824853674,-8069620.689887567
-48,711890.1046017654,-6706193.409823507,-6634145.9700000025,-10978504.167487364,-8106281.182436958
-40,584201.2481190509,-6745364.62997102,-6679597.9700000025,-11040267.233948693,-8155076.611306571
-32,460128.5939226378,-6779529.868403502,-6726415.9700000025,-11100850.680999342,-8202265.506467615
-24,339672.14201252616,-6794693.759882033,-6755819.9700000025,-11160138.259184852,-8236883.9963556295
-16,222831.892388716,-6832302.260089505,-6815287.9700000025,-11217759.046631586,-8288449.758907031
-8,109607.84505120727,-6870080.821219515,-6883171.9700000025,-11274445.104108505,-8342565.965109341
0,0.0,-6933801.0758440085,-6962799.9700000025,-11328915.901826475,-8408505.649223495
8,-105991.6427649058,-6996687.801939014,-7034681.9700000025,-11381250.701590732,-8470873.491176583
16,-208367.08324351013,-7021247.297010008,-7075043.9700000025,-11432641.110742744,-8509644.125917586
24,-307126.321435813,-7045159.471975997,-7086791.9700000025,-11482566.896360539,-8538172.779445512
32,-402269.35734181444,-7068654.675565492,-7112471.9700000025,-11530048.908328816,-8570391.851298103
40,-493796.19096151425,-7105466.666847527,-7143891.9700000025,-11576265.769225083,-8608541.46869087
48,-581706.8222949128,-7135125.527573999,-7195421.9700000025,-11620888.318463936,-8650478.60534598
56,-666001.2513420098,-7163141.310841519,-7254509.9700000025,-11663683.690054506,-8693778.32363201
64,-746679.4781028054,-7180733.620924979,-7300309.9700000025,-11704624.09020004,-8728555.89370834
72,-823741.5025772994,-7197816.359134011,-7326627.9700000025,-11744132.16195358,-8756192.163695864
80,-897187.324765492,-7208575.90036799,-7342921.9700000025,-11781939.70191785,-8777812.52409528
88,-967016.9446673832,-7222669.541417491,-7381809.9700000025,-11817630.452020716,-8807369.987812737
96,-1033230.362282973,-7229994.581001505,-7407725.9700000025,-11851296.700494383,-8829672.417165296
104,-1095827.577612261,-7247954.399984501,-7434017.9700000025,-11883756.616508413,-8855242.995497638
112,-1154808.5906552477,-7261037.977003001,-7460221.9700000025,-11914266.46642889,-8878508.804477299
120,-1210173.4014119331,-7270233.822573502,-7490725.9700000025,-11943379.714215267,-8901446.502262924
128,-1261922.0098823172,-7291445.795590978,-7544205.9700000025,-11970796.084924888,-8935482.616838623
136,-1310054.416066399,-7299344.726580493,-7571655.9700000025,-11997199.95381067,-8956066.883463722
144,-1354570.6199641803,-7308561.903391011,-7596703.9700000025,-12022308.398061033,-8975858.090484016
152,-1395470.6215756596,-7316862.560489502,-7616887.9700000025,-12046499.838649616,-8993416.78971304
160,-1432754.4209008378,-7328579.601288997,-7648473.9700000025,-12070654.616742872,-9015902.729343956
168,-1466422.017939714,-7341633.919222493,-7684891.9700000025,-12094342.739128172,-9040289.542783557
176,-1496473.4126922893,-7347470.469702508,-7704777.9700000025,-12115865.731043782,-9056038.05691543
184,-1522908.6051585628,-7356078.265332997,-7723367.9700000025,-12133850.011314683,-9071098.74888256
192,-1545727.595338535,-7363193.811825994,-7741727.9700000025,-12149362.253329214,-9084761.345051738
200,-1564930.3832322059,-7370537.528172508,-7754107.9700000025,-12163768.198414776,-9096137.898862429
